INSTITUCION,COD_IPRESS,NOMBRE,CLASIFICACION,TIPO_ESTABLECIMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,DIRECCION,CO_DISA,COD_RED,COD_MICRORRED,DISA,RED,MICRORED,COD_UE,UNIDAD_EJECUTORA,CATEGORIA,TELEFONO,HORARIO,INICIO_ACTIVIDAD,ESTADO,SITUACION,CONDICION,NORTE,ESTE,IMAGEN_1,FE_ACT_IMAGEN_1,IMAGEN_2,FE_ACT_IMAGEN_2,IMAGEN_3,FE_ACT_IMAGEN_3
GOBIERNO REGIONAL,2806,LA NOVIA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,170303,CARRETERA IBERIA KM 80,25,137,915,MADRE DE DIOS,MADRE DE DIOS,IBERIA,879,SALUD MADRE DE DIOS,I-1,953573385,7:00 - 19:00,1/01/1995,ACTIVO,REGISTRADO,ACTIVO,-11.8671856,-69.13774377,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2806_29717072_1498774205942.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2806_29717072_1498774205942.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2806_29717072_1498774205942.png,
GOBIERNO REGIONAL,2807,SANTA MARIA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,170303,CARRETERA IBERIA KM. 85,25,137,915,MADRE DE DIOS,MADRE DE DIOS,IBERIA,879,SALUD MADRE DE DIOS,I-1,931494291,7.00 -19:00 ,1/05/1995,ACTIVO,REGISTRADO,ACTIVO,-11.89472628,-69.00601556,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2807_40001257_1454434605558.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2807_40001257_1454434605558.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2807_40001257_1454434605558.png,
GOBIERNO REGIONAL,2808,P.S. CAMBRUNE,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,MOQUEGUA,MARISCAL NIETO,CARUMAS,180102,CALLE 28 DE JULIO S/N,26,138,918,MOQUEGUA,MOQUEGUA,CARUMAS,884,SALUD MOQUEGUA,I-2,962749104,08:00-20:00,21/10/1963,ACTIVO,REGISTRADO,ACTIVO,-16.82438155,-70.67862772,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2808_04438998_1463094515875.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2808_04438998_1463094515875.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2808_04438998_1463094515875.png,
GOBIERNO REGIONAL,2809,CENTRO DE SALUD CARUMAS,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,MOQUEGUA,MARISCAL NIETO,CARUMAS,180102,PROLONG. SAN BERNABE S/N,26,138,918,MOQUEGUA,MOQUEGUA,CARUMAS,884,SALUD MOQUEGUA,I-3,927539737,08:00 - 20:00,8/12/1978,ACTIVO,REGISTRADO,ACTIVO,-16.81242676,-70.69178992,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2809_04438998_1460667701422.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2809_04438998_1460667701422.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2809_04438998_1460667701422.png,
GOBIERNO REGIONAL,2811,P.S. SACUAYA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,180103,SACUAYA S/N,26,138,918,MOQUEGUA,MOQUEGUA,CARUMAS,884,SALUD MOQUEGUA,I-2,953718834,08:00-20:00,15/06/1988,ACTIVO,REGISTRADO,ACTIVO,-16.75967301,-70.71432843,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2811_04438998_1460650835097.png,14/04/2016 11:20:35,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2811_04438998_1460650835097.png,14/04/2016 11:20:48,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_2811_04438998_1460650835097.png,14/04/2016 11:22:08
GOBIERNO REGIONAL,4076,SOCORRO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,HUANCAVELICA,TAYACAJA,PAMPAS,90701,SOCORRO S/N - AL PIE DE LA CARRETERA CERCA AL COMPLEJO DEPORTIVO,13,59,444,HUANCAVELICA,TAYACAJA,ACRAQUIA,1645,RED DE SALUD TAYACAJA,I-2,986766908,8:00 - 14:00,1/01/1990,ACTIVO,REGISTRADO,ACTIVO,-12.48331561,-74.85139858,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171030225358.jpg,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171030225358.jpg,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20171030225358.jpg,
GOBIERNO REGIONAL,4078,DOS DE MAYO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,HUANCAVELICA,TAYACAJA,ACRAQUIA,90703,PLAZA PRINCIPAL S/N - DOS DE MAYO,13,59,444,HUANCAVELICA,TAYACAJA,ACRAQUIA,1645,RED DE SALUD TAYACAJA,I-2,987124115,7-13 hrs/13-19 hrs,1/01/1995,ACTIVO,REGISTRADO,ACTIVO,-12.39174949,-74.930706,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20230214124038.jpg,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20230214124038.jpg,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20230214124038.jpg,
GOBIERNO REGIONAL,4080,AHUAYCHA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,HUANCAVELICA,TAYACAJA,AHUAYCHA,90704,AV. MANCHEGO MUÑOZ S/N - AHUAYCHA FRENTE AL COLEGIO,13,59,444,HUANCAVELICA,TAYACAJA,ACRAQUIA,1645,RED DE SALUD TAYACAJA,I-2,966291079,8:00 - 14:00,13/12/1985,ACTIVO,REGISTRADO,ACTIVO,-12.40385032,-74.89153722,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_4080_40974482_1440611915909.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_4080_40974482_1440611915909.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_4080_40974482_1440611915909.png,
GOBIERNO REGIONAL,3250,HUAYLLAHUECO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,PUNO,PUNO,PLATERIA,210112,COMUNIDAD DE HUAYLLAHUECO,29,150,966,PUNO,PUNO,ACORA,919,SALUD PUNO,I-1,936227457,7:00 - 19:00,10/01/1995,ACTIVO,REGISTRADO,ACTIVO,-16.060205,-69.87190833,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20170919141331.jpg,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20170919141331.jpg,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=INSASU20170919141331.jpg,
GOBIERNO REGIONAL,3252,4 DE NOVIEMBRE,CENTROS DE SALUD O CENTROS MEDICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,PUNO,PUNO,PUNO,210101,JR. RUBEN DARIO Nº 257 - BARRIO 4 DE NOVIEMBRE,29,150,968,PUNO,PUNO,JOSE ANTONIO ENCINAS,919,SALUD PUNO,I-3,950814729,7:00 - 19:00,22/04/1986,ACTIVO,REGISTRADO,ACTIVO,-15.82486667,-70.02903167,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159861968.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159861968.png,,http://app20.susalud.gob.pe:8080/registro-renipress-webapp/ipress.htm?action=downloadFile&idArchivo=Fotografia_3252_29378523_1435159861968.png,
